City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Pilot Butte,CA,50.4668,-104.4178,51.66,76,3,13.96,clear sky
225,Komsomolskiy,UZ,40.4272,71.7189,72.21,40,99,5.77,overcast clouds
226,Saldanha,ZA,-33.0117,17.9442,63.3,66,0,11.05,clear sky
227,Sorkjosen,NO,69.8,20.9333,42.8,81,100,10.36,light intensity drizzle
228,Malinyi,TZ,-8.9333,36.1333,76.37,75,11,1.23,few clouds
229,Terrak,NO,65.087,12.3715,42.67,87,100,17.4,overcast clouds
230,Basoko,CD,1.2391,23.616,87.22,54,93,3.85,overcast clouds
231,Cape Town,ZA,-33.9258,18.4232,71.35,62,0,5.99,clear sky
232,Mascote,BR,-15.5631,-39.3025,74.68,90,100,2.17,overcast clouds
233,Barcelos,PT,41.5388,-8.6151,69.85,63,100,14.9,overcast clouds
234,Qaanaaq,GL,77.484,-69.3632,24.67,57,100,3.47,overcast clouds
235,Aklavik,CA,68.2191,-135.0107,25.86,94,100,7.38,overcast clouds
236,Zhigansk,RU,66.7697,123.3711,23.23,85,5,8.52,clear sky
237,Halmstad,SE,56.6745,12.8568,60.31,53,43,16.11,scattered clouds
238,Pangnirtung,CA,66.1451,-65.7125,24.4,76,8,2.33,clear sky
239,Shingu,JP,33.7333,135.9833,58.28,86,100,0.87,moderate rain
240,Kaitangata,NZ,-46.2817,169.8464,42.26,93,11,3.04,few clouds
241,Conde,BR,-7.2597,-34.9075,81.86,78,75,13.8,broken clouds
242,Zabid,YE,14.1951,43.3152,97.45,22,0,6.67,clear sky
243,Upernavik,GL,72.7868,-56.1549,19.62,67,10,0.58,clear sky
244,Hofn,IS,64.2539,-15.2082,46.58,87,100,3.56,overcast clouds
245,Yinchuan,CN,38.4681,106.2731,62.19,9,1,7.43,clear sky
246,Yar-Sale,RU,66.8333,70.8333,37.29,100,100,10.63,overcast clouds
247,Sigli,ID,5.3848,95.9609,80.92,83,87,7.29,overcast clouds
248,Bowen,AU,-20.0167,148.2333,72.77,83,63,4.03,broken clouds
249,Labuhan,ID,-6.8844,112.2051,81.27,83,54,4.41,broken clouds
250,Yafran,LY,32.0633,12.5286,85.39,13,8,8.48,clear sky
251,Springbok,ZA,-29.6643,17.8865,72.66,10,0,15.88,clear sky
252,Trebukhiv,UA,50.4843,30.903,63.86,53,81,13.11,broken clouds
253,Korla,CN,41.7597,86.1469,76.84,18,99,7.27,overcast clouds
254,Mitchell,US,43.7094,-98.0298,62.58,55,100,8.05,overcast clouds
255,Umm Lajj,SA,25.0213,37.2685,87.8,46,0,7.16,clear sky
256,Prabumulih,ID,-3.45,104.25,77.63,83,85,2.93,overcast clouds
257,Sosnogorsk,RU,63.6023,53.8817,48.31,81,96,2.66,overcast clouds
258,Barra Patuca,HN,15.8,-84.2833,83.14,72,41,10.09,scattered clouds
259,Parry Sound,CA,45.3501,-80.033,52.47,91,99,6.08,overcast clouds
260,Fort Saint James,CA,54.4333,-124.25,43.18,83,97,4.59,overcast clouds
261,Fredericksburg,US,38.3032,-77.4605,79.61,78,75,3.44,broken clouds
262,Zhangjiakou,CN,40.81,114.8794,57.83,20,12,5.77,few clouds
263,Ulladulla,AU,-35.35,150.4667,61.21,69,0,6.42,clear sky
264,Koppies,ZA,-27.2418,27.5742,68.11,32,30,5.32,scattered clouds
265,Maputo,MZ,-25.9653,32.5892,75.22,75,40,5.99,scattered clouds
266,Katsuura,JP,35.1333,140.3,64.06,82,100,2.26,heavy intensity rain
267,Krasnoarmeysk,RU,51.0239,45.6969,56.37,70,56,14.54,light rain
268,Kuryk,KZ,43.2,51.65,72.1,47,1,9.89,clear sky
269,Lake Havasu City,US,34.4839,-114.3224,88.09,5,0,0.0,clear sky
270,Charters Towers,AU,-20.1,146.2667,68.29,55,0,7.67,clear sky
271,Geraldton,AU,-28.7667,114.6,59.41,77,4,2.3,clear sky
272,Abonnema,NG,4.7084,6.7931,86.38,68,90,9.37,light rain
273,Kizilskoye,RU,52.7255,58.8937,51.78,90,100,6.98,overcast clouds
274,Popondetta,PG,-8.7537,148.2534,72.86,97,36,3.13,scattered clouds
275,Ternate,ID,0.8,127.4,80.42,81,99,7.29,overcast clouds
276,Namibe,AO,-15.1961,12.1522,77.7,56,3,11.21,clear sky
277,Lebu,CL,-37.6167,-73.65,56.08,44,100,0.94,overcast clouds
278,Sabara,BR,-19.8864,-43.8067,74.37,46,24,4.16,few clouds
279,Bidar,IN,17.9,77.55,99.16,21,79,3.09,broken clouds
280,New Norfolk,AU,-42.7826,147.0587,53.1,73,46,5.01,scattered clouds
281,Serebryanyy Bor,RU,56.8,124.8,26.73,92,97,5.91,overcast clouds
282,Sorland,NO,67.667,12.6934,42.66,87,97,25.79,overcast clouds
283,Nome,US,64.5011,-165.4064,33.87,93,100,9.22,mist
284,Manzanillo,CU,20.3433,-77.1167,83.77,63,100,7.34,overcast clouds
285,Ajdabiya,LY,30.7554,20.2263,75.9,33,0,16.24,clear sky
286,Ciudad Bolivar,VE,8.1222,-63.5497,90.54,45,86,10.65,overcast clouds
287,Hay River,CA,60.8156,-115.7999,43.34,71,100,9.91,overcast clouds
288,Diego De Almagro,CL,-26.3667,-70.05,72.43,17,0,3.78,clear sky
289,Jiaojiang,CN,28.6803,121.4428,57.0,92,100,5.3,overcast clouds
290,Tautira,PF,-17.7333,-149.15,80.02,76,26,12.15,light rain
291,Port Hedland,AU,-20.3167,118.5667,77.05,57,100,4.61,overcast clouds
292,Port Hardy,CA,50.6996,-127.4199,48.02,91,100,5.91,overcast clouds
293,Kruisfontein,ZA,-34.0033,24.7314,67.89,67,2,9.01,clear sky
294,Port Hueneme,US,34.1478,-119.1951,82.53,75,75,10.36,mist
295,Alugan,PH,12.2188,125.4808,80.13,84,100,8.3,overcast clouds
296,Leningradskiy,RU,69.3833,178.4167,21.27,90,99,8.86,overcast clouds
297,Faanui,PF,-16.4833,-151.75,80.46,61,10,7.61,clear sky
298,Lauenburg,DE,53.372,10.5565,70.57,48,2,5.28,clear sky
299,Quatre Cocos,MU,-20.2078,57.7625,73.09,80,35,10.96,light rain
300,Talnakh,RU,69.4865,88.3972,36.9,100,100,10.45,overcast clouds
301,Khatassy,RU,61.9036,129.6383,37.38,47,100,10.25,overcast clouds
302,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.39,87,96,2.62,overcast clouds
303,Narowal,PK,32.1,74.8833,98.49,6,65,1.39,broken clouds
304,Dogondoutchi,NE,13.6393,4.0287,107.17,16,87,11.12,overcast clouds
305,Fukue,JP,32.6881,128.8419,61.97,61,100,11.03,overcast clouds
306,Verkhoyansk,RU,67.5447,133.385,19.56,89,96,5.82,overcast clouds
307,Fortuna,US,40.5982,-124.1573,57.92,96,100,3.44,overcast clouds
308,Terre-De-Bas,GP,15.8501,-61.6442,80.11,71,23,17.52,few clouds
309,Tuatapere,NZ,-46.1333,167.6833,43.83,88,8,4.09,clear sky
310,Sangar,RU,63.9242,127.4739,24.55,89,74,3.09,broken clouds
311,Veraval,IN,20.9,70.3667,84.42,77,0,14.41,clear sky
312,Vila Velha,BR,-20.3297,-40.2925,78.75,65,75,9.22,broken clouds
313,Dunedin,NZ,-45.8742,170.5036,48.79,90,40,6.87,scattered clouds
314,Nador,MA,35.174,-2.9287,73.65,60,20,16.11,few clouds
315,Beloha,MG,-25.1667,45.05,70.38,70,0,10.78,clear sky
316,Tres Arroyos,AR,-38.3739,-60.2798,48.25,71,61,19.71,broken clouds
317,Nikolskoye,RU,59.7035,30.7861,53.49,61,96,9.6,overcast clouds
318,Mandalgovi,MN,45.7625,106.2708,54.81,18,7,6.08,clear sky
319,Yarmouth,US,41.7057,-70.2286,72.97,93,75,11.5,haze
320,Lakes Entrance,AU,-37.8811,147.981,62.17,62,2,8.88,clear sky
321,Ozernovskiy,RU,51.5,156.5167,36.54,93,100,11.52,moderate rain
322,Basco,PH,20.4487,121.9702,81.3,81,61,13.35,broken clouds
323,Bayamo,CU,20.3792,-76.6433,85.15,57,100,4.43,overcast clouds
324,Dolinsk,RU,47.35,142.8,46.17,69,59,16.87,broken clouds
325,Bara,NG,10.3744,10.7288,103.51,16,38,2.35,scattered clouds
326,Kazachinskoye,RU,57.6953,93.2761,62.42,54,39,3.44,scattered clouds
327,Klaksvik,FO,62.2266,-6.589,50.92,89,100,8.52,overcast clouds
328,Lorengau,PG,-2.0226,147.2712,80.22,70,100,0.65,overcast clouds
329,Banda Aceh,ID,5.5577,95.3222,82.35,81,55,12.41,broken clouds
330,Roald,NO,62.5833,6.1333,50.92,57,0,4.61,clear sky
331,Phalombe,MW,-15.8064,35.6507,68.54,66,75,6.17,broken clouds
332,Vega De Alatorre,MX,20.0333,-96.6333,81.16,69,83,3.33,broken clouds
333,Sechura,PE,-5.5569,-80.8222,68.77,73,100,12.41,overcast clouds
334,Sambava,MG,-14.2667,50.1667,78.03,71,32,18.3,scattered clouds
335,Pastavy,BY,55.1168,26.8326,54.75,64,74,14.34,broken clouds
336,Saint-Francois,FR,46.4154,3.9054,78.24,57,75,5.75,broken clouds
337,Mopipi,BW,-21.1833,24.8833,82.4,17,21,12.82,few clouds
